Model,MAE,RMSE,R2
Gradient Boosting Regressor,74606.1926943602,126556.86150346462,0.8917765923007137
Random Forest Regressor,70132.97433457717,132699.03936548906,0.8810168752500813
Polynomial Regression (Degree 2),101309.02804377564,164069.07544707545,0.8181123240042343
Decision Tree Regressor,91431.9282432873,175783.9004262913,0.7912108117665015
KNN Regression,99477.15020519834,186241.25814817703,0.7656302233978006
Lasso Regression (L1),125366.17934354302,210018.906784748,0.7019654593996739
Ridge Regression (L2),125362.53259932324,210019.75421335993,0.7019630542494856
Elastic Net (L1 + L2),125354.0689755675,210019.98096769594,0.7019624106794893
Multiple Linear Regression,125293.0320133256,210051.29584690664,0.7018735266898537
SVR (RBF Kernel),200019.06697075564,373012.8845307838,0.05984928835693115
